Country Name,Country Code,Time,ID,Region,EAP,EECA,LAC,MENA,NAM,SA,SSA,WE,Pop,y,FinInc,GPI,FemLit,ChldMort,Waste,MSExpShr,inflation,Polity2,GINI,MedPov,NRR,ImpWat
Cyprus,CYP,2017,CYP2017,WE,0,0,0,0,0,0,0,1,..,28448.82,90.15,1.00,98.12,2.60,..,56.69,-1.43,10.00,35.60,0.20,0.06,100.00
Czech Republic,CZE,2017,CZE2017,EECA,0,1,0,0,0,0,0,0,..,21894.11,82.18,..,..,3.20,4.60,87.44,0.64,9.00,25.90,0.00,0.14,100.00
Denmark,DNK,2017,DNK2017,WE,0,0,0,0,0,0,0,1,..,60670.24,100.00,..,..,4.40,..,39.22,0.25,10.00,28.50,0.40,0.52,100.00
Djibouti,DJI,2017,DJI2017,MENA,0,0,0,1,1,0,0,0,..,1579.92,12.27,..,..,64.20,21.50,63.25,2.15,3.00,44.10,44.60,0.92,90.00
Dominica,DMA,2017,DMA2017,LAC,0,0,1,0,0,0,0,0,..,6880.63,..,..,..,34.00,..,34.01,-0.79,..,..,..,0.07,94.40
Dominican Republic,DOM,2017,DOM2017,LAC,0,0,1,0,0,0,0,0,..,6909.13,54.09,1.01,92.32,30.70,2.40,20.02,1.61,7.00,44.90,6.90,1.98,84.70
Ecuador,ECU,2017,ECU2017,LAC,0,0,1,0,0,0,0,0,..,5191.10,46.21,1.00,93.31,20.90,2.30,3.46,1.72,5.00,46.50,11.80,3.86,86.90
"Egypt, Arab Rep.",EGY,2017,EGY2017,MENA,0,0,0,1,1,0,0,0,..,2724.40,14.13,0.96,67.18,22.80,9.50,7.54,13.81,-4.00,31.80,16.10,3.85,99.40
El Salvador,SLV,2017,SLV2017,LAC,0,0,1,0,0,0,0,0,..,3802.86,36.72,1.01,86.22,15.00,2.00,24.71,0.60,8.00,40.80,9.80,0.91,93.80
Equatorial Guinea,GNQ,2017,GNQ2017,SSA,0,0,0,0,0,0,1,0,..,12278.13,..,0.99,81.62,90.90,3.10,..,1.67,-6.00,..,..,15.95,47.90
Eritrea,ERI,2017,ERI2017,SSA,0,0,0,0,0,0,1,0,..,514.18,..,0.90,54.80,44.50,15.30,9.01,..,-7.00,..,..,19.22,57.80
Estonia,EST,2017,EST2017,EECA,0,1,0,0,0,0,0,0,..,18094.59,97.67,1.00,99.91,2.90,..,63.00,0.15,9.00,34.60,1.20,0.88,99.60
Ethiopia,ETH,2017,ETH2017,SSA,0,0,0,0,0,0,1,0,..,511.19,21.79,0.75,28.92,58.40,8.70,4.99,7.27,-3.00,33.20,73.10,14.28,57.30
Faroe Islands,FRO,2017,FRO2017,WE,0,0,0,0,0,0,0,1,..,47397.90,..,..,..,..,..,9.99,..,..,..,..,0.00,..
Fiji,FJI,2017,FJI2017,EAP,1,0,0,0,0,0,0,0,..,4195.97,..,..,..,22.00,6.30,33.11,3.86,2.00,36.40,14.50,1.47,95.70
Finland,FIN,2017,FIN2017,WE,0,0,0,0,0,0,0,1,..,45823.76,100.00,..,..,2.30,..,29.16,0.36,10.00,26.80,0.00,0.59,100.00
France,FRA,2017,FRA2017,WE,0,0,0,0,0,0,0,1,..,42015.74,96.58,..,..,3.90,..,25.79,0.18,9.00,32.30,0.00,0.04,100.00
French Polynesia,PYF,2017,PYF2017,EAP,1,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,..,..,..,0.00,100.00
Gabon,GAB,2017,GAB2017,SSA,0,0,0,0,0,0,1,0,..,9569.45,33.01,1.02,79.88,47.40,3.40,3.48,0.60,3.00,42.20,25.80,13.10,93.20
"Gambia, The",GMB,2017,GMB2017,SSA,0,0,0,0,0,0,1,0,..,531.92,..,0.85,33.58,65.30,11.10,23.51,6.81,-5.00,47.30,69.50,7.67,90.20
Georgia,GEO,2017,GEO2017,EECA,0,1,0,0,0,0,0,0,..,4084.00,39.67,1.00,99.51,10.70,1.60,28.16,2.13,7.00,38.50,25.30,0.96,100.00
Germany,DEU,2017,DEU2017,WE,0,0,0,0,0,0,0,1,..,45845.53,98.76,..,..,3.80,1.00,40.31,0.48,10.00,31.40,0.00,0.07,100.00
Ghana,GHA,2017,GHA2017,SSA,0,0,0,0,0,0,1,0,..,1707.66,40.51,0.94,65.29,58.80,4.70,9.62,17.47,8.00,42.20,34.90,17.09,88.70
Gibraltar,GIB,2017,GIB2017,WE,0,0,0,0,0,0,0,1,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Greece,GRC,2017,GRC2017,WE,0,0,0,0,0,0,0,1,..,22699.08,87.52,1.00,96.23,3.80,0.80,19.88,-0.83,10.00,35.80,3.00,0.09,100.00
Greenland,GRL,2017,GRL2017,WE,0,0,0,0,0,0,0,1,..,41435.63,..,1.00,100.00,..,..,..,..,..,..,..,0.00,100.00
Grenada,GRD,2017,GRD2017,LAC,0,0,1,0,0,0,0,0,..,8676.34,..,1.00,97.59,16.00,..,21.95,-0.62,..,..,..,0.00,96.60
Guam,GUM,2017,GUM2017,EAP,1,0,0,0,0,0,0,0,..,32013.77,..,..,..,..,..,..,..,..,..,..,0.00,99.50
Guatemala,GTM,2017,GTM2017,LAC,0,0,1,0,0,0,0,0,..,3100.21,41.35,0.98,76.37,28.50,0.70,11.57,4.45,8.00,48.70,25.30,2.29,92.80
Guinea,GIN,2017,GIN2017,SSA,0,0,0,0,0,0,1,0,..,735.72,6.96,0.65,21.96,89.00,5.60,6.31,8.13,4.00,33.70,70.30,24.54,76.80
Guinea-Bissau,GNB,2017,GNB2017,SSA,0,0,0,0,0,0,1,0,..,582.37,..,0.70,30.77,88.10,6.00,0.89,1.69,6.00,50.70,84.50,21.45,79.30
Guyana,GUY,2017,GUY2017,LAC,0,0,1,0,0,0,0,0,..,3783.54,..,1.01,85.03,32.40,6.40,12.82,-0.96,7.00,44.50,29.50,18.47,98.30
Haiti,HTI,2017,HTI2017,LAC,0,0,1,0,0,0,0,0,..,729.27,18.86,0.95,44.60,67.00,5.20,6.73,13.83,0.00,40.90,51.00,1.20,57.70
Honduras,HND,2017,HND2017,LAC,0,0,1,0,0,0,0,0,..,2137.81,31.49,1.02,88.93,18.70,1.40,20.85,2.72,7.00,50.10,34.80,2.49,91.20
"Hong Kong SAR, China",HKG,2017,HKG2017,EAP,1,0,0,0,0,0,0,0,..,36776.21,96.15,..,..,..,..,121.56,2.39,..,..,..,0.00,..
Hungary,HUN,2017,HUN2017,EECA,0,1,0,0,0,0,0,0,..,14997.20,72.26,1.00,98.45,5.20,4.20,88.77,0.40,10.00,30.90,1.00,0.31,100.00
Iceland,ISL,2017,ISL2017,WE,0,0,0,0,0,0,0,1,..,48441.86,..,..,..,2.10,..,29.79,1.69,..,25.60,0.00,0.00,100.00
India,IND,2017,IND2017,SA,0,0,0,0,0,1,0,0,..,1861.49,53.14,0.91,59.28,43.00,15.10,15.60,4.94,9.00,35.20,60.40,1.88,94.10
Indonesia,IDN,2017,IDN2017,EAP,1,0,0,0,0,0,0,0,..,3974.06,36.06,1.00,93.59,26.40,13.50,9.50,3.53,9.00,39.50,31.40,2.32,87.40
"Iran, Islamic Rep.",IRN,2017,IRN2017,MENA,0,0,0,1,1,0,0,0,..,6733.91,92.28,0.99,79.84,15.10,4.80,2.87,8.57,-7.00,38.80,2.50,24.29,96.20
Iraq,IRQ,2017,IRQ2017,MENA,0,0,0,1,1,0,0,0,..,5695.68,10.97,0.85,37.96,31.20,7.40,3.48,1.39,6.00,29.50,17.90,28.64,86.60
Ireland,IRL,2017,IRL2017,WE,0,0,0,0,0,0,0,1,..,69974.11,94.71,..,..,3.60,..,85.78,0.00,10.00,31.90,0.50,0.05,97.90
Isle of Man,IMN,2017,IMN2017,WE,0,0,0,0,0,0,0,1,..,84046.14,..,..,..,..,..,..,..,..,..,..,0.00,..
Israel,ISR,2017,ISR2017,MENA,0,0,0,1,1,0,0,0,..,33677.46,89.95,0.99,88.67,3.60,..,30.07,-0.54,6.00,41.40,1.30,0.22,100.00
Italy,ITA,2017,ITA2017,WE,0,0,0,0,0,0,0,1,..,34362.67,87.33,1.00,98.58,3.30,1.20,26.17,-0.12,10.00,34.70,1.70,0.08,100.00
Jamaica,JAM,2017,JAM2017,LAC,0,0,1,0,0,0,0,0,..,4790.04,78.46,1.10,85.87,15.30,3.00,26.88,2.35,9.00,45.50,8.90,1.36,93.80
Japan,JPN,2017,JPN2017,EAP,1,0,0,0,0,0,0,0,..,47623.27,96.65,..,..,2.70,2.30,15.08,-0.12,10.00,32.10,0.70,0.02,100.00
Jordan,JOR,2017,JOR2017,MENA,0,0,0,1,1,0,0,0,..,3258.49,24.62,1.00,97.37,17.60,2.40,25.71,-0.79,-3.00,33.70,2.10,1.19,96.90
Kazakhstan,KAZ,2017,KAZ2017,EECA,0,1,0,0,0,0,0,0,..,10582.50,53.91,1.00,99.74,11.40,4.10,9.52,6.65,-6.00,26.50,0.40,9.19,92.90
Kenya,KEN,2017,KEN2017,SSA,0,0,0,0,0,0,1,0,..,1143.07,74.66,0.99,74.01,49.20,4.00,13.02,6.30,9.00,48.50,60.60,3.29,63.20
Kiribati,KIR,2017,KIR2017,EAP,1,0,0,0,0,0,0,0,..,1685.99,..,..,..,54.30,12.60,8.88,..,..,37.00,34.60,0.09,66.90
"Korea, Dem. People’s Rep.",PRK,2017,PRK2017,EAP,1,0,0,0,0,0,0,0,..,..,..,1.00,100.00,20.00,4.00,..,..,-10.00,..,..,..,99.70
"Korea, Rep.",KOR,2017,KOR2017,EAP,1,0,0,0,0,0,0,0,..,25458.89,94.36,..,..,3.40,0.90,38.23,0.97,8.00,31.60,0.70,0.02,97.60
Kosovo,XKX,2017,XKX2017,EECA,0,1,0,0,0,0,0,0,..,3890.07,47.80,..,..,..,..,..,..,..,26.70,3.70,0.97,..
Kuwait,KWT,2017,KWT2017,MENA,0,0,0,1,1,0,0,0,..,35250.91,72.91,1.00,94.47,8.40,2.40,9.64,3.20,-7.00,..,..,39.13,99.00
Kyrgyz Republic,KGZ,2017,KGZ2017,EECA,0,1,0,0,0,0,0,0,..,1038.85,18.47,1.00,98.98,21.10,2.80,23.24,0.42,7.00,29.00,23.30,7.71,90.00
Lao PDR,LAO,2017,LAO2017,EAP,1,0,0,0,0,0,0,0,..,1642.73,26.77,0.87,49.72,63.90,6.40,..,1.51,-7.00,36.40,58.50,11.63,75.70
Latvia,LVA,2017,LVA2017,EECA,0,1,0,0,0,0,0,0,..,14724.69,90.22,1.00,99.91,4.60,..,44.20,0.12,8.00,35.10,0.90,0.99,99.30
Lebanon,LBN,2017,LBN2017,MENA,0,0,0,1,1,0,0,0,..,7143.96,46.93,1.00,88.09,8.10,6.60,35.17,-0.81,6.00,31.80,0.10,0.00,99.00
Lesotho,LSO,2017,LSO2017,SSA,0,0,0,0,0,0,1,0,..,1352.48,18.50,1.18,84.93,93.50,2.80,21.61,6.61,8.00,54.20,78.00,6.93,81.80
Liberia,LBR,2017,LBR2017,SSA,0,0,0,0,0,0,1,0,..,352.65,18.80,0.59,27.03,67.40,5.60,0.29,7.78,6.00,33.20,73.80,46.44,75.60
Libya,LBY,2017,LBY2017,MENA,0,0,0,1,1,0,0,0,..,4578.53,..,0.82,42.31,12.90,6.50,1.68,2.61,0.00,..,..,50.86,71.20
Liechtenstein,LIE,2017,LIE2017,WE,0,0,0,0,0,0,0,1,..,141165.08,..,..,..,..,..,..,..,..,..,..,0.01,..
Lithuania,LTU,2017,LTU2017,EECA,0,1,0,0,0,0,0,0,..,15895.23,77.91,1.00,99.83,5.30,..,53.68,0.91,10.00,37.70,2.70,0.37,96.60
Luxembourg,LUX,2017,LUX2017,WE,0,0,0,0,0,0,0,1,..,108600.93,96.17,..,..,2.40,..,185.29,0.30,10.00,31.20,0.20,0.06,100.00
"Macao SAR, China",MAC,2017,MAC2017,EAP,1,0,0,0,0,0,0,0,..,52144.04,..,1.00,95.03,..,..,73.51,2.37,..,..,..,0.00,..
"Macedonia, FYR",MKD,2017,MKD2017,EECA,0,1,0,0,0,0,0,0,..,5222.83,71.80,0.99,94.06,12.20,1.80,50.37,-0.24,9.00,35.60,10.00,2.04,99.40
Madagascar,MDG,2017,MDG2017,SSA,0,0,0,0,0,0,1,0,..,416.00,8.55,0.96,68.28,46.40,15.20,18.84,7.40,6.00,42.70,91.10,12.84,51.50
Malawi,MWI,2017,MWI2017,SSA,0,0,0,0,0,0,1,0,..,481.45,18.09,1.01,55.20,55.10,3.80,4.43,21.87,6.00,46.10,88.40,9.61,90.20
Malaysia,MYS,2017,MYS2017,EAP,1,0,0,0,0,0,0,0,..,11031.82,80.67,1.00,90.75,8.30,15.30,55.50,2.13,5.00,46.30,3.10,4.84,98.20
Maldives,MDV,2017,MDV2017,SA,0,0,0,0,0,1,0,0,..,8416.94,..,1.00,98.69,8.50,10.20,73.64,0.50,..,38.40,24.40,0.01,98.60
Mali,MLI,2017,MLI2017,SSA,0,0,0,0,0,0,1,0,..,745.87,20.08,0.65,22.20,110.60,15.30,7.71,1.44,5.00,33.00,79.00,12.50,77.00
Malta,MLT,2017,MLT2017,MENA,0,0,0,1,1,0,0,0,..,26577.66,96.33,1.01,94.79,6.80,..,134.52,0.58,..,..,..,0.00,100.00
Marshall Islands,MHL,2017,MHL2017,EAP,1,0,0,0,0,0,0,0,..,3373.95,..,1.01,98.20,35.40,..,..,..,..,..,..,0.00,94.60
Mauritania,MRT,2017,MRT2017,SSA,0,0,0,0,0,0,1,0,..,1296.01,22.87,0.72,35.35,81.40,11.60,5.75,0.48,-2.00,32.40,23.60,31.80,57.90
Mauritius,MUS,2017,MUS2017,SSA,0,0,0,0,0,0,1,0,..,9822.01,82.21,1.01,90.65,13.70,15.70,34.73,1.02,10.00,35.80,3.20,0.00,99.90
Mexico,MEX,2017,MEX2017,LAC,0,0,1,0,0,0,0,0,..,9707.91,39.14,1.00,93.49,14.60,1.60,31.98,2.82,8.00,48.20,11.80,2.26,96.10
"Micronesia, Fed. Sts.",FSM,2017,FSM2017,EAP,1,0,0,0,0,0,0,0,..,2823.43,..,..,..,33.30,..,..,..,..,40.10,38.10,0.04,89.00
Moldova,MDA,2017,MDA2017,EECA,0,1,0,0,0,0,0,0,..,2062.71,17.76,1.00,98.92,15.90,1.90,25.30,9.68,9.00,27.00,1.40,0.40,88.40
Monaco,MCO,2017,MCO2017,WE,0,0,0,0,0,0,0,1,..,144246.37,..,..,..,3.40,..,..,..,..,..,..,0.00,100.00
Mongolia,MNG,2017,MNG2017,EAP,1,0,0,0,0,0,0,0,..,3906.12,91.82,1.01,98.34,17.90,1.00,6.60,0.55,10.00,32.00,3.20,16.52,64.40
Montenegro,MNE,2017,MNE2017,EECA,0,1,0,0,0,0,0,0,..,7492.86,59.83,1.00,97.50,3.80,2.80,..,1.20,9.00,31.90,0.80,0.72,99.70
Morocco,MAR,2017,MAR2017,MENA,0,0,0,1,1,0,0,0,..,3204.86,39.07,0.93,59.13,27.10,2.30,30.45,1.64,-4.00,40.70,17.00,2.57,85.40
Mozambique,MOZ,2017,MOZ2017,SSA,0,0,0,0,0,0,1,0,..,515.39,..,0.71,36.45,71.30,6.10,6.76,19.85,5.00,45.60,88.50,13.06,51.10
Myanmar,MMR,2017,MMR2017,EAP,1,0,0,0,0,0,0,0,..,1408.14,22.78,0.99,71.85,50.80,7.90,11.30,10.80,8.00,38.10,30.20,4.84,80.60
Namibia,NAM,2017,NAM2017,SSA,0,0,0,0,0,0,1,0,..,6045.22,58.83,1.02,87.95,45.20,7.10,22.47,3.41,6.00,61.00,47.00,2.32,91.00
Nauru,NRU,2017,NRU2017,EAP,1,0,0,0,0,0,0,0,..,9650.57,..,..,..,34.60,1.00,..,..,..,..,..,..,96.50
Nepal,NPL,2017,NPL2017,SA,0,0,0,0,0,1,0,0,..,685.12,33.80,0.89,48.84,34.50,11.30,8.84,7.87,6.00,32.80,50.90,1.47,91.60
Netherlands,NLD,2017,NLD2017,WE,0,0,0,0,0,0,0,1,..,52267.73,99.30,..,..,3.80,2.70,65.10,0.32,10.00,28.60,0.20,0.51,100.00
New Caledonia,NCL,2017,NCL2017,EAP,1,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,..,..,..,5.86,98.50
New Zealand,NZL,2017,NZL2017,EAP,1,0,0,0,0,0,0,0,..,36840.52,99.53,..,..,5.40,..,11.38,0.54,10.00,..,..,0.87,100.00
Nicaragua,NIC,2017,NIC2017,LAC,0,0,1,0,0,0,0,0,..,1946.37,19.44,1.04,77.92,19.70,1.50,27.12,3.52,6.00,46.60,13.80,4.11,87.00
Niger,NER,2017,NER2017,SSA,0,0,0,0,0,0,1,0,..,..,6.71,0.44,8.94,91.30,18.70,4.30,1.01,5.00,34.00,77.50,14.77,58.20
Nigeria,NGA,2017,NGA2017,SSA,0,0,0,0,0,0,1,0,..,2455.92,44.44,0.77,41.39,104.30,7.90,1.48,15.70,7.00,43.00,77.60,4.71,68.50
Northern Mariana Islands,MNP,2017,MNP2017,EAP,1,0,0,0,0,0,0,0,..,19115.38,..,..,..,..,..,..,..,..,..,..,0.00,97.50
Norway,NOR,2017,NOR2017,WE,0,0,0,0,0,0,0,1,..,90288.82,100.00,..,..,2.60,..,15.50,3.55,10.00,26.80,0.20,5.41,100.00
Oman,OMN,2017,OMN2017,MENA,0,0,0,1,1,0,0,0,..,17070.96,73.60,1.00,86.04,10.70,7.50,12.70,0.07,-8.00,..,..,22.93,93.40
