Country Name,Country Code,Time,ID,Region,EAP,EECA,LAC,MENA,NAM,SA,SSA,WE,Pop,y,FinInc,GPI,FemLit,ChldMort,Waste,MSExpShr,inflation,Polity2,GINI,MedPov,NRR,ImpWat
Seychelles,SYC,2017,SYC2017,SSA,0,0,0,0,0,0,1,0,..,13963.59,..,1.01,94.45,14.30,4.30,60.65,-1.02,..,46.80,2.50,0.12,95.70
Sierra Leone,SLE,2017,SLE2017,SSA,0,0,0,0,0,0,1,0,..,455.59,15.58,0.79,24.86,113.50,9.40,5.01,8.01,7.00,34.00,81.30,23.47,62.60
Singapore,SGP,2017,SGP2017,EAP,1,0,0,0,0,0,0,0,..,52600.64,96.35,1.00,95.45,2.80,3.60,138.44,-0.50,-2.00,..,..,0.00,100.00
Sint Maarten (Dutch part),SXM,2017,SXM2017,LAC,0,0,1,0,0,0,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Slovak Republic,SVK,2017,SVK2017,EECA,0,1,0,0,0,0,0,0,..,19275.09,77.24,..,..,5.90,..,87.25,-0.52,10.00,26.10,1.20,0.29,100.00
Slovenia,SVN,2017,SVN2017,EECA,0,1,0,0,0,0,0,0,..,24460.40,97.24,1.00,99.45,2.30,..,77.13,-0.06,10.00,25.70,0.00,0.26,99.50
Solomon Islands,SLB,2017,SLB2017,EAP,1,0,0,0,0,0,0,0,..,1479.34,..,..,69.00,25.80,4.30,12.74,-0.56,8.00,37.00,58.80,23.01,80.80
Somalia,SOM,2017,SOM2017,SSA,0,0,0,0,0,0,1,0,..,..,38.66,..,..,132.50,15.00,..,..,5.00,..,..,17.82,31.70
South Africa,ZAF,2017,ZAF2017,SSA,0,0,0,0,0,0,1,0,..,7488.99,70.32,1.01,93.41,43.30,4.70,17.83,6.33,9.00,63.40,35.90,4.20,93.20
South Sudan,SSD,2017,SSD2017,SSA,0,0,0,0,0,0,1,0,..,745.34,..,0.67,19.19,90.70,22.70,..,380.78,0.00,46.30,64.80,15.85,58.70
Spain,ESP,2017,ESP2017,WE,0,0,0,0,0,0,0,1,..,31505.29,97.58,1.00,97.70,3.30,..,27.28,-0.20,10.00,36.00,1.50,0.07,100.00
Sri Lanka,LKA,2017,LKA2017,SA,0,0,0,0,0,1,0,0,..,3832.34,82.69,1.01,89.96,9.40,21.40,17.42,3.73,6.00,39.20,16.10,0.16,95.60
St. Kitts and Nevis,KNA,2017,KNA2017,LAC,0,0,1,0,0,0,0,0,..,15657.22,..,..,..,9.30,..,29.87,-2.30,..,..,..,0.00,98.30
St. Lucia,LCA,2017,LCA2017,LAC,0,0,1,0,0,0,0,0,..,8151.63,..,..,..,13.30,3.70,57.00,-0.98,..,42.60,63.50,0.03,96.30
St. Martin (French part),MAF,2017,MAF2017,LAC,0,0,1,0,0,0,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..
St. Vincent and the Grenadines,VCT,2017,VCT2017,LAC,0,0,1,0,0,0,0,0,..,6676.62,..,1.00,95.50,16.60,..,31.78,-1.73,..,..,..,0.04,95.10
Sudan,SDN,2017,SDN2017,SSA,0,0,0,0,0,0,1,0,..,1924.00,15.27,0.91,46.70,65.10,16.30,1.31,16.91,-2.00,35.40,40.50,4.20,55.50
Suriname,SUR,2017,SUR2017,LAC,0,0,1,0,0,0,0,0,..,8108.24,..,0.99,91.00,20.00,5.00,4.84,55.48,5.00,57.60,42.80,17.68,94.80
Swaziland,SWZ,2017,SWZ2017,SSA,0,0,0,0,0,0,1,0,..,3906.26,28.57,1.03,82.45,70.40,2.00,40.05,7.85,-9.00,51.50,64.40,2.88,74.10
Sweden,SWE,2017,SWE2017,WE,0,0,0,0,0,0,0,1,..,56473.02,99.72,..,..,2.90,..,34.43,0.98,10.00,27.20,0.50,0.40,100.00
Switzerland,CHE,2017,CHE2017,WE,0,0,0,0,0,0,0,1,..,76691.12,97.99,..,..,4.10,..,59.27,-0.43,10.00,32.50,0.00,0.01,100.00
Syrian Arab Republic,SYR,2017,SYR2017,MENA,0,0,0,1,1,0,0,0,..,..,23.25,0.95,73.63,17.50,11.50,19.43,36.70,-9.00,35.80,15.30,20.75,90.10
Tajikistan,TJK,2017,TJK2017,EECA,0,1,0,0,0,0,0,0,..,968.39,11.46,1.00,99.22,43.10,9.90,..,6.00,-3.00,34.00,20.00,2.04,73.80
Tanzania,TZA,2017,TZA2017,SSA,0,0,0,0,0,0,1,0,..,867.06,39.78,0.97,73.09,56.70,6.60,10.29,5.59,3.00,37.80,79.00,6.86,55.60
Thailand,THA,2017,THA2017,EAP,1,0,0,0,0,0,0,0,..,5901.88,78.14,1.00,91.19,12.20,6.70,56.52,0.19,-3.00,37.80,1.10,1.25,97.80
Timor-Leste,TLS,2017,TLS2017,EAP,1,0,0,0,0,0,0,0,..,939.80,..,0.98,52.96,49.70,11.00,5.93,-1.20,..,30.30,80.20,0.30,71.90
Togo,TGO,2017,TGO2017,SSA,0,0,0,0,0,0,1,0,..,558.12,18.25,0.87,51.24,75.70,6.70,20.22,0.85,-2.00,43.00,73.20,24.67,63.10
Tonga,TON,2017,TON2017,EAP,1,0,0,0,0,0,0,0,..,3792.29,..,1.00,99.43,16.40,5.20,16.17,-1.05,..,37.50,9.00,0.05,99.60
Trinidad and Tobago,TTO,2017,TTO2017,LAC,0,0,1,0,0,0,0,0,..,16259.04,75.92,1.00,95.66,18.50,5.20,24.94,4.66,10.00,40.30,13.10,7.49,95.10
Tunisia,TUN,2017,TUN2017,MENA,0,0,0,1,1,0,0,0,..,4265.37,27.43,0.99,72.22,13.60,2.80,31.47,3.71,7.00,35.80,9.10,3.03,97.70
Turkey,TUR,2017,TUR2017,WE,0,0,0,0,0,0,0,1,..,14116.98,56.68,0.99,92.65,12.70,1.70,17.59,7.78,-4.00,41.20,2.40,0.36,100.00
Turkmenistan,TKM,2017,TKM2017,EECA,0,1,0,0,0,0,0,0,..,6986.86,1.79,1.00,98.26,51.00,7.20,..,..,-8.00,40.80,70.70,18.98,60.40
Turks and Caicos Islands,TCA,2017,TCA2017,LAC,0,0,1,0,0,0,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..,87.10
Tuvalu,TUV,2017,TUV2017,EAP,1,0,0,0,0,0,0,0,..,3402.72,..,..,..,25.30,3.30,12.15,..,..,39.10,17.60,0.00,97.70
Uganda,UGA,2017,UGA2017,SSA,0,0,0,0,0,0,1,0,..,662.43,44.45,0.95,61.97,53.00,4.80,9.92,5.23,-1.00,41.00,66.60,13.54,79.00
Ukraine,UKR,2017,UKR2017,EECA,0,1,0,0,0,0,0,0,..,2905.86,52.71,1.00,99.96,9.10,0.30,34.67,13.90,4.00,25.50,0.50,3.90,96.20
United Arab Emirates,ARE,2017,ARE2017,MENA,0,0,0,1,1,0,0,0,..,40864.25,83.74,1.04,91.47,7.70,..,..,..,-8.00,..,..,11.95,99.60
United Kingdom,GBR,2017,GBR2017,WE,0,0,0,0,0,0,0,1,..,41981.39,98.93,..,..,4.30,1.40,24.73,0.64,10.00,34.10,0.20,0.34,100.00
United States,USA,2017,USA2017,NAM,0,0,0,0,0,0,0,0,..,52364.24,93.58,..,..,6.50,0.50,8.99,1.26,8.00,41.00,1.40,0.29,99.20
Uruguay,URY,2017,URY2017,LAC,0,0,1,0,0,0,0,0,..,14010.00,45.59,1.01,98.87,9.20,1.10,10.95,9.64,10.00,41.70,1.40,1.64,99.70
Uzbekistan,UZB,2017,UZB2017,EECA,0,1,0,0,0,0,0,0,..,1961.48,40.71,1.00,99.98,24.10,4.50,..,..,-9.00,35.30,88.70,9.38,87.30
Vanuatu,VUT,2017,VUT2017,EAP,1,0,0,0,0,0,0,0,..,2873.69,..,0.89,47.78,27.60,4.40,39.49,2.47,..,37.30,39.40,0.90,94.50
"Venezuela, RB",VEN,2017,VEN2017,LAC,0,0,1,0,0,0,0,0,..,13708.98,57.03,1.01,97.21,16.30,4.10,0.99,109.68,4.00,46.90,15.40,15.25,93.10
Vietnam,VNM,2017,VNM2017,EAP,1,0,0,0,0,0,0,0,..,1735.29,30.95,0.99,91.38,21.60,4.40,65.67,0.88,-7.00,34.80,11.60,2.56,97.60
Virgin Islands (U.S.),VIR,2017,VIR2017,LAC,0,0,1,0,0,0,0,0,..,29389.06,..,..,..,..,..,..,..,..,..,..,0.00,100.00
West Bank and Gaza,PSE,2017,PSE2017,MENA,0,0,0,1,1,0,0,0,..,2570.68,24.24,1.00,95.21,19.40,1.20,9.41,..,..,34.40,3.40,0.00,58.40
"Yemen, Rep.",YEM,2017,YEM2017,MENA,0,0,0,1,1,0,0,0,..,679.67,6.45,0.43,17.06,55.30,16.20,1.34,8.10,0.00,36.70,52.20,2.30,54.90
Zambia,ZMB,2017,ZMB2017,SSA,0,0,0,0,0,0,1,0,..,1627.27,35.64,0.95,77.75,63.40,6.30,7.42,10.10,6.00,57.10,74.30,14.38,65.40
Zimbabwe,ZWE,2017,ZWE2017,SSA,0,0,0,0,0,0,1,0,..,917.56,32.39,1.06,88.28,56.40,3.30,4.66,-1.56,4.00,43.20,47.20,8.69,76.90
